CLASS,BRANCH_MISSED,BRANCH_COVERED,Total_Branch,Branch_Coverage,LINE_MISSED,LINE_COVERED,Total_Line,Line_Coverage,COMPLEXITY_MISSED,COMPLEXITY_COVERED,Total_Complexity,,KILLED,MEMORY_ERROR,NO_COVERAGE,SURVIVED,TIMED_OUT
PropertiesComputer,3,13,16,0.8125,3,41,44,0.931818182,3,14,17,PropertiesComputer,20,0,2,3,0
Vertex,1,5,6,0.833333333,1,23,24,0.958333333,1,10,11,Vertex,7,0,1,2,0
SphericalPolygonsSet,13,69,82,0.841463415,7,146,153,0.954248366,11,45,56,SphericalPolygonsSet,78,0,5,14,4
Circle.CircleTransform,0,0,0,100,0,10,10,1,0,4,4,#N/A,0,0,0,0,0
ComplexField.LazyHolder,0,0,0,100,0,1,1,1,0,1,1,#N/A,0,0,0,0,0
Complex,17,165,182,0.906593407,10,223,233,0.957081545,19,121,140,Complex,274,0,8,20,1
ComplexField,0,0,0,100,1,4,5,0.8,1,4,5,ComplexField,4,0,1,0,0
Quaternion,6,26,32,0.8125,6,97,103,0.941747573,6,40,46,Quaternion,118,0,7,7,0
ComplexUtils,0,4,4,1,0,8,8,1,0,4,4,ComplexUtils,9,0,0,0,0
ComplexFormat,17,21,38,0.552631579,35,76,111,0.684684685,18,22,40,ComplexFormat,31,0,14,6,0
RootsOfUnity,5,19,24,0.791666667,8,40,48,0.833333333,5,13,18,RootsOfUnity,30,0,2,5,0
SobolSequenceGenerator,6,36,42,0.857142857,13,85,98,0.867346939,6,23,29,SobolSequenceGenerator,71,0,1,16,3
UncorrelatedRandomVectorGenerator,1,3,4,0.75,1,16,17,0.941176471,1,4,5,UncorrelatedRandomVectorGenerator,8,0,0,0,0
RandomGeneratorFactory.new RandomGenerator() {...},0,2,2,1,2,16,18,0.888888889,1,12,13,#N/A,0,0,0,0,0
BitsStreamGenerator,4,14,18,0.777777778,7,48,55,0.872727273,3,17,20,BitsStreamGenerator,44,0,12,6,3
ValueServer,2,23,25,0.92,7,78,85,0.917647059,3,38,41,ValueServer,32,0,1,6,0
UniformRandomGenerator,0,0,0,100,0,5,5,1,0,3,3,UniformRandomGenerator,4,0,0,0,0
ISAACRandom,1,19,20,0.95,5,124,129,0.96124031,2,21,23,ISAACRandom,144,0,4,5,3
RandomDataGenerator,17,53,70,0.757142857,26,137,163,0.840490798,14,56,70,RandomDataGenerator,80,0,26,26,9
AbstractRandomGenerator,5,17,22,0.772727273,7,40,47,0.85106383,5,17,22,AbstractRandomGenerator,30,0,6,10,7
SynchronizedRandomGenerator,0,0,0,100,6,12,18,0.666666667,3,9,12,SynchronizedRandomGenerator,8,0,3,0,0
StableRandomGenerator,5,19,24,0.791666667,9,31,40,0.775,4,10,14,StableRandomGenerator,21,0,23,19,0
Well19937c,0,0,0,100,0,26,26,1,0,5,5,Well19937c,32,0,0,0,0
Well19937a,0,0,0,100,2,22,24,0.916666667,1,4,5,Well19937a,26,0,0,0,0
GaussianRandomGenerator,0,0,0,100,0,4,4,1,0,2,2,GaussianRandomGenerator,1,0,0,0,0
UnitSphereRandomVectorGenerator,0,4,4,1,0,16,16,1,0,5,5,UnitSphereRandomVectorGenerator,11,0,0,0,0
Well44497a,0,2,2,1,4,22,26,0.846153846,2,4,6,Well44497a,29,0,0,0,0
Well44497b,0,2,2,1,0,28,28,1,0,6,6,Well44497b,35,0,0,0,0
MersenneTwister,1,27,28,0.964285714,2,74,76,0.973684211,1,22,23,MersenneTwister,103,0,2,8,2
CorrelatedRandomVectorGenerator,3,7,10,0.7,12,19,31,0.612903226,4,7,11,CorrelatedRandomVectorGenerator,14,0,4,1,0
EmpiricalDistribution.DataAdapter,0,0,0,100,0,1,1,1,0,1,1,#N/A,0,0,0,0,0
RandomAdaptor,4,2,6,0.333333333,7,16,23,0.695652174,5,12,17,RandomAdaptor,9,0,4,2,0
HaltonSequenceGenerator,0,16,16,1,0,33,33,1,0,15,15,HaltonSequenceGenerator,24,0,0,1,2
Well1024a,0,0,0,100,2,20,22,0.909090909,1,4,5,Well1024a,20,0,0,0,0
RandomDataImpl,0,0,0,100,38,5,43,0.11627907,32,2,34,RandomDataImpl,0,0,31,1,0
EmpiricalDistribution.StreamDataAdapter,0,4,4,1,0,23,23,1,0,5,5,#N/A,0,0,0,0,0
AbstractWell,0,8,8,1,0,39,39,1,0,11,11,AbstractWell,38,0,0,1,2
RandomGeneratorFactory,2,0,2,0,5,1,6,0.166666667,2,1,3,RandomGeneratorFactory,10,0,7,2,1
Well512a,0,0,0,100,4,17,21,0.80952381,2,3,5,Well512a,22,0,0,0,0
EmpiricalDistribution.ArrayDataAdapter,0,4,4,1,0,14,14,1,0,5,5,#N/A,0,0,0,0,0
JDKRandomGenerator,0,0,0,100,2,3,5,0.6,1,2,3,JDKRandomGenerator,1,0,1,0,0
EmpiricalDistribution,6,38,44,0.863636364,19,140,159,0.880503145,13,47,60,EmpiricalDistribution,102,0,9,22,0
FunctionUtils.new UnivariateDifferentiableFunction() {...},2,3,5,0.6,3,12,15,0.8,3,3,6,#N/A,0,0,0,0,0
FunctionUtils.new DifferentiableUnivariateFunction() {...},0,0,0,100,0,3,3,1,0,3,3,#N/A,0,0,0,0,0
FunctionUtils.new MultivariateDifferentiableFunction() {...},3,11,14,0.785714286,4,22,26,0.846153846,4,6,10,#N/A,0,0,0,0,0
FunctionUtils.new DifferentiableMultivariateFunction() {...},0,0,0,100,1,3,4,0.75,1,3,4,#N/A,0,0,0,0,0
FunctionUtils.new MultivariateDifferentiableVectorFunction() {...},3,13,16,0.8125,3,26,29,0.896551724,3,8,11,#N/A,0,0,0,0,0
FunctionUtils.new DifferentiableMultivariateVectorFunction() {...},0,0,0,100,0,3,3,1,0,3,3,#N/A,0,0,0,0,0
FunctionUtils.new MultivariateFunction() {...},0,2,2,1,0,5,5,1,0,3,3,#N/A,0,0,0,0,0
FunctionUtils.new UnivariateFunction() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
FunctionUtils.new UnivariateFunction() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
FunctionUtils.new UnivariateFunction() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
FunctionUtils.18.new MultivariateMatrixFunction() {...},0,6,6,1,0,14,14,1,0,5,5,#N/A,0,0,0,0,0
FunctionUtils.16.new MultivariateFunction() {...},4,0,4,0,9,0,9,0,4,0,4,#N/A,0,0,0,0,0
FunctionUtils.16.new MultivariateVectorFunction() {...},0,4,4,1,0,13,13,1,0,4,4,#N/A,0,0,0,0,0
FunctionUtils.6.new UnivariateFunction() {...},2,0,2,0,5,0,5,0,3,0,3,#N/A,0,0,0,0,0
FunctionUtils.new DifferentiableUnivariateFunction() {...},2,0,2,0,6,0,6,0,4,0,4,#N/A,0,0,0,0,0
FunctionUtils.3.new UnivariateFunction() {...},2,0,2,0,7,0,7,0,3,0,3,#N/A,0,0,0,0,0
FunctionUtils.new UnivariateFunction() {...},0,2,2,1,0,5,5,1,0,3,3,#N/A,0,0,0,0,0
FunctionUtils.new UnivariateFunction() {...},0,2,2,1,0,5,5,1,0,3,3,#N/A,0,0,0,0,0
FunctionUtils.new UnivariateDifferentiableFunction() {...},2,2,4,0.5,4,5,9,0.555555556,2,3,5,#N/A,0,0,0,0,0
FunctionUtils.new UnivariateFunction() {...},0,2,2,1,0,5,5,1,0,3,3,#N/A,0,0,0,0,0
FunctionUtils.new UnivariateDifferentiableFunction() {...},2,2,4,0.5,4,5,9,0.555555556,2,3,5,#N/A,0,0,0,0,0
FunctionUtils.new UnivariateDifferentiableFunction() {...},2,2,4,0.5,4,5,9,0.555555556,2,3,5,#N/A,0,0,0,0,0
FunctionUtils.new DifferentiableUnivariateFunction() {...},2,0,2,0,6,0,6,0,4,0,4,#N/A,0,0,0,0,0
FunctionUtils.new DifferentiableUnivariateFunction() {...},2,0,2,0,6,0,6,0,4,0,4,#N/A,0,0,0,0,0
FunctionUtils.9.new UnivariateFunction() {...},6,0,6,0,9,0,9,0,5,0,5,#N/A,0,0,0,0,0
FunctionUtils,0,6,6,1,3,27,30,0.9,3,21,24,FunctionUtils,138,0,66,3,0
FunctionUtils.14.new UnivariateFunction() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
FiniteDifferencesDifferentiator.new UnivariateDifferentiableFunction() {...},0,4,4,1,0,9,9,1,0,5,5,#N/A,0,0,0,0,0
FiniteDifferencesDifferentiator.new UnivariateDifferentiableVectorFunction() {...},0,10,10,1,0,16,16,1,0,8,8,#N/A,0,0,0,0,0
DerivativeStructure,2,68,70,0.971428571,0,304,304,1,2,116,118,DerivativeStructure,194,0,0,30,0
FiniteDifferencesDifferentiator.new UnivariateDifferentiableMatrixFunction() {...},0,14,14,1,0,18,18,1,0,10,10,#N/A,0,0,0,0,0
FiniteDifferencesDifferentiator,0,14,14,1,0,42,42,1,0,15,15,FiniteDifferencesDifferentiator,87,0,0,7,0
DSCompiler,2,294,296,0.993243243,2,570,572,0.996503497,2,195,197,DSCompiler,717,0,0,17,0
SparseGradient.new Field() {...},0,0,0,100,0,4,4,1,0,4,4,#N/A,0,0,0,0,0
DerivativeStructure.new Field() {...},0,0,0,100,0,4,4,1,0,4,4,#N/A,0,0,0,0,0
SparseGradient,6,106,112,0.946428571,4,247,251,0.984063745,6,125,131,SparseGradient,240,0,5,23,0
GradientFunction,0,4,4,1,0,14,14,1,0,4,4,GradientFunction,7,0,0,0,0
DerivativeStructure.DataTransferObject,0,0,0,100,0,6,6,1,0,2,2,#N/A,0,0,0,0,0
JacobianFunction,0,6,6,1,0,15,15,1,0,5,5,JacobianFunction,10,0,0,0,0
SubLimitAngle,0,6,6,1,0,9,9,1,0,9,9,SubLimitAngle,7,0,0,4,0
S1Point,2,8,10,0.8,1,24,25,0.96,2,14,16,S1Point,14,0,1,3,0
LimitAngle,1,5,6,0.833333333,1,15,16,0.9375,2,12,14,LimitAngle,14,0,1,1,0
Sphere1D.LazyHolder,0,0,0,100,0,1,1,1,0,1,1,#N/A,0,0,0,0,0
Sphere1D,0,0,0,100,0,4,4,1,0,4,4,Sphere1D,3,0,0,0,0
ArcsSet.InconsistentStateAt2PiWrapping,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
ArcsSet.SubArcsIterator,2,24,26,0.923076923,1,38,39,0.974358974,2,16,18,#N/A,0,0,0,0,0
ArcsSet.Split,0,0,0,100,0,6,6,1,0,3,3,#N/A,0,0,0,0,0
ArcsSet,17,123,140,0.878571429,17,235,252,0.932539683,14,86,100,ArcsSet,152,0,20,45,14
Arc,0,16,16,1,1,23,24,0.958333333,1,14,15,Arc,26,0,1,7,0
Sphere1D.NoSubSpaceException,0,0,0,100,0,2,2,1,0,1,1,#N/A,0,0,0,0,0
MultivariateOptimizer,0,6,6,1,0,15,15,1,0,8,8,MultivariateOptimizer,10,0,0,0,0
LineSearch.new UnivariateFunction() {...},0,2,2,1,0,6,6,1,0,3,3,#N/A,0,0,0,0,0
GoalType,0,0,0,100,0,3,3,1,0,1,1,#N/A,0,0,0,0,0
MultiStartMultivariateOptimizer.new Comparator() {...},5,3,8,0.375,2,7,9,0.777777778,4,2,6,#N/A,0,0,0,0,0
ObjectiveFunctionGradient,0,0,0,100,0,4,4,1,0,2,2,ObjectiveFunctionGradient,1,0,0,0,0
MultivariateFunctionMappingAdapter,2,16,18,0.888888889,2,26,28,0.928571429,2,11,13,MultivariateFunctionMappingAdapter,54,0,0,20,0
LineSearch,0,0,0,100,0,14,14,1,0,2,2,LineSearch,8,0,0,0,0
MultivariateFunctionPenaltyAdapter,3,17,20,0.85,3,26,29,0.896551724,3,9,12,MultivariateFunctionPenaltyAdapter,46,0,0,18,0
MultivariateFunctionMappingAdapter.LowerUpperBoundMapper,0,0,0,100,0,6,6,1,0,3,3,#N/A,0,0,0,0,0
MultivariateFunctionMappingAdapter.LowerBoundMapper,0,0,0,100,0,5,5,1,0,3,3,#N/A,0,0,0,0,0
MultivariateFunctionMappingAdapter.NoBoundsMapper,0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
GradientMultivariateOptimizer,1,3,4,0.75,0,10,10,1,1,5,6,GradientMultivariateOptimizer,6,0,0,1,0
MultivariateFunctionMappingAdapter.UpperBoundMapper,0,0,0,100,0,5,5,1,0,3,3,#N/A,0,0,0,0,0
MultiStartMultivariateOptimizer,0,0,0,100,0,11,11,1,0,5,5,MultiStartMultivariateOptimizer,7,0,3,1,0
LeastSquaresConverter,3,15,18,0.833333333,3,35,38,0.921052632,3,10,13,LeastSquaresConverter,52,0,0,0,0
ObjectiveFunction,0,0,0,100,0,4,4,1,0,2,2,ObjectiveFunction,1,0,0,0,0
SubHyperplane.SplitSubHyperplane,0,0,0,100,0,6,6,1,0,3,3,#N/A,0,0,0,0,0
Side,0,0,0,100,0,5,5,1,0,1,1,#N/A,0,0,0,0,0
RegionFactory.IntersectionMerger,0,2,2,1,0,6,6,1,0,3,3,#N/A,0,0,0,0,0
BoundaryProjection,0,0,0,100,0,8,8,1,0,4,4,BoundaryProjection,3,0,0,0,0
BSPTree.new BSPTree.VanishingCutHandler() {...},0,0,0,100,2,0,2,0,2,0,2,#N/A,0,0,0,0,0
BSPTree,13,84,97,0.865979381,24,204,228,0.894736842,14,64,78,BSPTree,79,0,8,28,0
BoundarySizeVisitor,0,4,4,1,0,13,13,1,0,7,7,BoundarySizeVisitor,6,0,0,0,0
AbstractRegion,13,75,88,0.852272727,7,141,148,0.952702703,15,60,75,AbstractRegion,87,0,4,6,0
Characterization,2,18,20,0.9,1,42,43,0.976744186,2,19,21,Characterization,24,0,0,0,0
BoundaryProjector,4,26,30,0.866666667,0,51,51,1,4,20,24,BoundaryProjector,23,0,0,3,0
BoundaryBuilder,0,14,14,1,0,27,27,1,0,11,11,BoundaryBuilder,13,0,0,1,0
InsideFinder,5,45,50,0.9,0,42,42,1,5,25,30,InsideFinder,26,0,0,3,0
AbstractRegion.new Comparator() {...},0,4,4,1,0,4,4,1,0,4,4,#N/A,0,0,0,0,0
AbstractRegion.new BSPTreeVisitor() {...},1,3,4,0.75,0,7,7,1,1,5,6,#N/A,0,0,0,0,0
RegionFactory.UnionMerger,0,2,2,1,0,6,6,1,0,3,3,#N/A,0,0,0,0,0
RegionFactory.XorMerger,0,2,2,1,0,6,6,1,0,3,3,#N/A,0,0,0,0,0
NodesSet,0,6,6,1,0,14,14,1,0,7,7,NodesSet,5,0,0,0,0
AbstractSubHyperplane,2,14,16,0.875,0,40,40,1,2,15,17,AbstractSubHyperplane,17,0,0,0,0
RegionFactory,2,24,26,0.923076923,1,57,58,0.982758621,2,20,22,RegionFactory,43,0,4,14,0
BoundaryAttribute,0,0,0,100,2,8,10,0.8,1,4,5,BoundaryAttribute,3,0,0,0,0
RegionFactory.VanishingToLeaf,2,0,2,0,3,3,6,0.5,2,1,3,#N/A,0,0,0,0,0
RegionFactory.DifferenceMerger,3,7,10,0.7,0,17,17,1,2,6,8,#N/A,0,0,0,0,0
Region.Location,0,0,0,100,0,4,4,1,0,1,1,#N/A,0,0,0,0,0
RegionFactory.NodesCleaner,0,0,0,100,0,5,5,1,0,4,4,#N/A,0,0,0,0,0
BSPTreeVisitor.Order,0,0,0,100,0,7,7,1,0,1,1,#N/A,0,0,0,0,0
DummyStepHandler,0,0,0,100,4,0,4,0,4,0,4,DummyStepHandler,0,0,2,0,0
AbstractStepInterpolator,9,25,34,0.735294118,15,171,186,0.919354839,10,33,43,AbstractStepInterpolator,64,0,5,8,1
StepNormalizer,1,33,34,0.970588235,5,59,64,0.921875,3,23,26,StepNormalizer,23,0,1,7,8
StepNormalizerBounds,0,0,0,100,0,11,11,1,0,4,4,StepNormalizerBounds,2,0,0,0,0
NordsieckStepInterpolator,11,27,38,0.710526316,7,80,87,0.91954023,12,17,29,NordsieckStepInterpolator,59,0,3,3,4
DummyStepHandler.LazyHolder,0,0,0,100,1,0,1,0,1,0,1,#N/A,0,0,0,0,0
StepNormalizerMode,0,0,0,100,0,3,3,1,0,1,1,#N/A,0,0,0,0,0
Line.LineTransform,1,1,2,0.5,1,32,33,0.96969697,1,4,5,#N/A,0,0,0,0,0
SubLine,0,34,34,1,2,59,61,0.967213115,1,26,27,SubLine,41,0,0,5,0
Line,5,15,20,0.75,27,81,108,0.75,10,35,45,Line,101,0,15,27,0
Vector2DFormat,1,3,4,0.75,5,18,23,0.782608696,3,8,11,Vector2DFormat,7,0,1,0,0
Euclidean2D.LazyHolder,0,0,0,100,0,1,1,1,0,1,1,#N/A,0,0,0,0,0
DiskGenerator,0,6,6,1,0,33,33,1,0,6,6,DiskGenerator,12,0,0,0,0
Euclidean2D,0,0,0,100,0,4,4,1,0,4,4,Euclidean2D,4,0,0,0,0
PolygonsSet.Edge,0,0,0,100,0,21,21,1,0,7,7,#N/A,0,0,0,0,0
PolygonsSet.ConnectableSegment,0,0,0,100,0,20,20,1,0,10,10,#N/A,0,0,0,0,0
PolygonsSet.SegmentsBuilder,3,15,18,0.833333333,0,38,38,1,3,13,16,#N/A,0,0,0,0,0
PolygonsSet.Vertex,0,6,6,1,0,24,24,1,0,11,11,#N/A,0,0,0,0,0
PolygonsSet,38,135,173,0.780346821,49,217,266,0.815789474,33,75,108,PolygonsSet,150,0,32,55,6
Vector2D,18,16,34,0.470588235,52,54,106,0.509433962,34,23,57,Vector2D,41,0,91,14,0
Segment,2,2,4,0.5,3,16,19,0.842105263,2,5,7,Segment,24,0,1,2,0
NestedLoops,28,0,28,0,62,0,62,0,20,0,20,NestedLoops,0,0,26,0,0
MultivariateSummaryStatistics,8,36,44,0.818181818,0,145,145,1,8,50,58,MultivariateSummaryStatistics,96,0,0,22,0
AggregateSummaryStatistics.AggregatingSummaryStatistics,8,0,8,0,8,8,16,0.5,6,2,8,#N/A,0,0,0,0,0
SynchronizedDescriptiveStatistics,0,0,0,100,3,28,31,0.903225806,1,14,15,SynchronizedDescriptiveStatistics,13,0,1,2,0
DescriptiveStatistics,2,20,22,0.909090909,18,143,161,0.888198758,3,58,61,DescriptiveStatistics,52,0,1,7,0
AbstractStorelessUnivariateStatistic,1,17,18,0.944444444,1,24,25,0.96,1,15,16,AbstractStorelessUnivariateStatistic,22,0,0,3,0
AbstractUnivariateStatistic,10,2,12,0.166666667,13,11,24,0.458333333,7,10,17,AbstractUnivariateStatistic,8,0,12,0,0
SynchronizedSummaryStatistics,0,0,0,100,29,29,58,0.5,13,23,36,SynchronizedSummaryStatistics,21,0,16,1,0
SummaryStatistics,18,40,58,0.689655172,28,167,195,0.856410256,27,41,68,SummaryStatistics,63,0,18,36,0
AggregateSummaryStatistics,9,15,24,0.625,14,54,68,0.794117647,14,15,29,AggregateSummaryStatistics,32,0,17,6,0
StatisticalSummaryValues,5,11,16,0.6875,0,45,45,1,5,14,19,StatisticalSummaryValues,19,0,0,12,0
SynchronizedMultivariateSummaryStatistics,0,0,0,100,0,41,41,1,0,31,31,SynchronizedMultivariateSummaryStatistics,30,0,0,0,0
SimplexOptimizer,3,19,22,0.863636364,1,36,37,0.972972973,3,14,17,SimplexOptimizer,50,0,0,2,0
NelderMeadSimplex,1,31,32,0.96875,3,82,85,0.964705882,2,23,25,NelderMeadSimplex,124,0,0,10,0
CMAESOptimizer.DoubleIndex,6,0,6,0,7,5,12,0.416666667,5,2,7,#N/A,0,0,0,0,0
BOBYQAOptimizer.PathIsExploredException,0,0,0,100,2,0,2,0,1,0,1,#N/A,0,0,0,0,0
MultiDirectionalSimplex,0,8,8,1,2,42,44,0.954545455,1,13,14,MultiDirectionalSimplex,32,0,0,2,2
CMAESOptimizer.ValuePenaltyPair,0,0,0,100,0,4,4,1,0,1,1,#N/A,0,0,0,0,0
PowellOptimizer,4,32,36,0.888888889,3,89,92,0.967391304,4,22,26,PowellOptimizer,72,0,0,61,0
CMAESOptimizer.PopulationSize,1,1,2,0.5,1,5,6,0.833333333,1,2,3,#N/A,0,0,0,0,0
BOBYQAOptimizer,105,519,624,0.831730769,157,1027,1184,0.867398649,90,243,333,BOBYQAOptimizer,2181,0,350,578,17
AbstractSimplex,13,41,54,0.759259259,14,75,89,0.842696629,14,27,41,AbstractSimplex,132,0,4,8,4
CMAESOptimizer.FitnessFunction,7,15,22,0.681818182,9,27,36,0.75,5,11,16,#N/A,0,0,0,0,0
CMAESOptimizer.Sigma,0,4,4,1,0,7,7,1,0,4,4,#N/A,0,0,0,0,0
SimplexOptimizer.new MultivariateFunction() {...},0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
SimplexOptimizer.new Comparator() {...},0,2,2,1,0,4,4,1,0,3,3,#N/A,0,0,0,0,0
CMAESOptimizer,36,182,218,0.834862385,36,377,413,0.91283293,32,117,149,CMAESOptimizer,635,0,98,292,1
AbstractLeastSquaresOptimizer,2,20,22,0.909090909,15,71,86,0.825581395,7,26,33,AbstractLeastSquaresOptimizer,70,2,4,7,0
NonLinearConjugateGradientOptimizer.LineSearchFunction,0,4,4,1,0,11,11,1,0,4,4,#N/A,0,0,0,0,0
LevenbergMarquardtOptimizer,21,181,202,0.896039604,15,360,375,0.96,18,93,111,LevenbergMarquardtOptimizer,1041,0,13,138,2
NonLinearConjugateGradientOptimizer,7,27,34,0.794117647,8,65,73,0.890410959,8,16,24,NonLinearConjugateGradientOptimizer,112,0,5,6,1
AbstractDifferentiableOptimizer,0,0,0,100,6,0,6,0,4,0,4,AbstractDifferentiableOptimizer,0,0,3,0,0
NonLinearConjugateGradientOptimizer.IdentityPreconditioner,0,0,0,100,0,2,2,1,0,2,2,#N/A,0,0,0,0,0
AbstractScalarDifferentiableOptimizer,0,0,0,100,1,7,8,0.875,1,4,5,AbstractScalarDifferentiableOptimizer,3,0,0,0,0
ConjugateGradientFormula,0,0,0,100,0,3,3,1,0,1,1,#N/A,0,0,0,0,0
GaussNewtonOptimizer,3,19,22,0.863636364,6,56,62,0.903225806,5,11,16,GaussNewtonOptimizer,100,0,3,2,2
EnclosingBall,0,4,4,1,0,11,11,1,0,9,9,EnclosingBall,10,0,0,1,0
WelzlEncloser,1,19,20,0.95,1,45,46,0.97826087,1,14,15,WelzlEncloser,20,0,0,5,4
MaxIter,1,1,2,0.5,2,5,7,0.714285714,2,2,4,MaxIter,2,0,1,1,0
BaseMultivariateOptimizer,2,28,30,0.933333333,1,36,37,0.972972973,2,20,22,BaseMultivariateOptimizer,28,0,0,1,0
BaseOptimizer,0,6,6,1,4,27,31,0.870967742,2,13,15,BaseOptimizer,17,0,4,0,0
BaseOptimizer.MaxIterCallback,0,0,0,100,0,1,1,1,0,1,1,#N/A,0,0,0,0,0
AbstractOptimizationProblem.MaxEvalCallback,0,0,0,100,0,1,1,1,0,1,1,#N/A,0,0,0,0,0
BaseOptimizer.MaxEvalCallback,0,0,0,100,0,1,1,1,0,1,1,#N/A,0,0,0,0,0
PointVectorValuePair,3,9,12,0.75,0,13,13,1,3,10,13,PointVectorValuePair,20,0,0,4,0
SimpleVectorValueChecker,0,12,12,1,0,21,21,1,0,9,9,SimpleVectorValueChecker,30,0,0,4,0
MaxEval,1,1,2,0.5,2,5,7,0.714285714,2,2,4,MaxEval,2,0,1,1,0
PointValuePair,2,4,6,0.666666667,0,10,10,1,2,6,8,PointValuePair,12,0,0,2,0
AbstractOptimizationProblem.MaxIterCallback,0,0,0,100,0,1,1,1,0,1,1,#N/A,0,0,0,0,0
SimpleValueChecker,1,9,10,0.9,0,16,16,1,1,7,8,SimpleValueChecker,22,0,0,4,0
PointValuePair.DataTransferObject,0,0,0,100,0,5,5,1,0,2,2,#N/A,0,0,0,0,0
AbstractConvergenceChecker,0,0,0,100,0,6,6,1,0,3,3,AbstractConvergenceChecker,4,0,0,0,0
PointVectorValuePair.DataTransferObject,0,0,0,100,0,5,5,1,0,2,2,#N/A,0,0,0,0,0
AbstractOptimizationProblem,0,0,0,100,0,10,10,1,0,5,5,AbstractOptimizationProblem,3,0,0,0,0
SimplePointChecker,2,10,12,0.833333333,0,21,21,1,2,7,9,SimplePointChecker,30,0,0,4,0
InitialGuess,0,0,0,100,0,4,4,1,0,2,2,InitialGuess,2,0,0,0,0
SimpleBounds,0,0,0,100,0,11,11,1,0,4,4,SimpleBounds,7,0,0,0,0
BaseMultiStartMultivariateOptimizer,4,30,34,0.882352941,3,51,54,0.944444444,4,17,21,BaseMultiStartMultivariateOptimizer,25,0,0,7,3
BaseSecantSolver,3,45,48,0.9375,3,65,68,0.955882353,3,33,36,BaseSecantSolver,39,0,0,15,1
AbstractDifferentiableUnivariateSolver,0,0,0,100,2,7,9,0.777777778,1,3,4,AbstractDifferentiableUnivariateSolver,2,0,0,1,0
BrentSolver,1,39,40,0.975,2,83,85,0.976470588,2,24,26,BrentSolver,63,0,0,23,0
NewtonRaphsonSolver,0,2,2,1,0,14,14,1,0,5,5,NewtonRaphsonSolver,6,0,0,1,0
LaguerreSolver.ComplexSolver,9,21,30,0.7,7,59,66,0.893939394,8,11,19,#N/A,0,0,0,0,0
SecantSolver,1,9,10,0.9,5,26,31,0.838709677,3,6,9,SecantSolver,16,0,1,3,0
MullerSolver2,5,15,20,0.75,6,49,55,0.890909091,6,8,14,MullerSolver2,46,0,5,12,2
RiddersSolver,4,12,16,0.75,6,46,52,0.884615385,5,7,12,RiddersSolver,21,0,4,8,0
AbstractUnivariateDifferentiableSolver,0,0,0,100,2,7,9,0.777777778,1,3,4,AbstractUnivariateDifferentiableSolver,3,0,0,0,0
BracketingNthOrderBrentSolver,1,65,66,0.984848485,1,131,132,0.992424242,1,43,44,BracketingNthOrderBrentSolver,119,0,0,24,1
AbstractUnivariateSolver,0,0,0,100,0,6,6,1,0,3,3,#N/A,0,0,0,0,0
IllinoisSolver,0,0,0,100,6,2,8,0.25,3,1,4,#N/A,0,0,0,0,0
AbstractPolynomialSolver,0,0,0,100,4,6,10,0.6,2,3,5,AbstractPolynomialSolver,2,0,0,0,0
UnivariateSolverUtils,21,47,68,0.691176471,28,72,100,0.72,15,31,46,UnivariateSolverUtils,50,0,16,27,0
BisectionSolver,0,4,4,1,2,17,19,0.894736842,1,5,6,BisectionSolver,5,0,0,3,0
BaseAbstractUnivariateSolver,0,0,0,100,1,44,45,0.977777778,1,21,22,BaseAbstractUnivariateSolver,24,0,1,1,0
LaguerreSolver,8,8,16,0.5,16,28,44,0.636363636,9,7,16,LaguerreSolver,47,0,11,19,1
BaseSecantSolver.Method,0,0,0,100,0,4,4,1,0,1,1,#N/A,0,0,0,0,0
AllowedSolution,0,0,0,100,0,6,6,1,0,1,1,#N/A,0,0,0,0,0
NewtonSolver,0,2,2,1,0,12,12,1,0,5,5,NewtonSolver,6,0,0,1,0
PegasusSolver,0,0,0,100,2,6,8,0.75,1,3,4,#N/A,0,0,0,0,0
MullerSolver,5,31,36,0.861111111,5,59,64,0.921875,6,17,23,MullerSolver,47,0,3,28,0
RegulaFalsiSolver,0,0,0,100,6,2,8,0.25,3,1,4,#N/A,0,0,0,0,0
Weight,2,0,2,0,6,4,10,0.4,2,2,4,Weight,2,0,2,0,0
MultivariateVectorOptimizer,0,10,10,1,0,25,25,1,0,13,13,MultivariateVectorOptimizer,14,0,0,0,1
Target,0,0,0,100,0,4,4,1,0,2,2,Target,2,0,0,0,0
JacobianMultivariateVectorOptimizer,0,4,4,1,0,10,10,1,0,6,6,JacobianMultivariateVectorOptimizer,7,0,0,0,0
ModelFunction,0,0,0,100,0,4,4,1,0,2,2,ModelFunction,1,0,0,0,0
ModelFunctionJacobian,0,0,0,100,0,4,4,1,0,2,2,ModelFunctionJacobian,1,0,0,0,0
MultiStartMultivariateVectorOptimizer,0,0,0,100,0,11,11,1,0,5,5,MultiStartMultivariateVectorOptimizer,2,0,3,6,0
